0;65;90
1;58;79
2;51;67
3;46;52
4;39;39
5;33;26
6;27;15
7;22;1
8;31;2
9;44;7
10;58;12
11;71;17
12;84;23
13;97;28
14;110;33
15;123;39
16;135;43
17;148;49
18;161;55
19;174;60
20;187;65
21;200;69
22;213;76
23;226;81
24;239;86
25;251;91
26;265;96
27;277;102
28;289;107
29;303;113
30;316;117
31;328;123
32;342;128
33;354;133
34;367;138
35;380;143
36;392;149
37;388;160
38;379;169
39;370;179
40;360;188
41;350;198
42;340;207
43;330;217
44;322;227
45;312;236
46;302;246
47;291;256
48;282;266
49;272;276
50;261;285
51;253;295
52;243;304
53;233;314
54;224;323
55;214;333
56;203;343
57;183;341
58;175;331
59;166;322
60;157;312
61;147;303
62;137;292
63;127;281
64;118;272
65;107;263
66;98;253
67;87;242
68;78;232
69;69;221
70;59;211
71;49;202
72;37;195
73;28;185
74;18;176
75;9;167
76;0;153
77;10;147
78;22;142
79;36;137
80;48;132
81;61;126
82;75;122
83;87;117
84;99;110
85;112;106
86;124;100
87;137;95
88;150;90
89;163;84
90;177;78
91;189;75
92;201;69
93;214;63
94;227;57
95;240;52
96;252;47
97;267;42
98;278;38
99;291;31
100;304;26
101;317;23
102;319;17
103;342;11
104;355;6
105;367;0
106;365;10
107;360;21
108;354;34
109;348;46
110;342;58
111;337;71
112;330;82
113;324;92
114;299;146
115;292;157
116;285;171
117;280;183
118;273;195
119;267;207
120;261;219
121;255;231
122;249;243
123;243;256
124;237;268
125;230;281
126;224;293
127;219;306
128;213;317
129;207;328
130;188;334
131;182;319
132;175;307
133;169;295
134;163;283
135;157;271
136;149;258
137;144;247
138;137;234
139;130;222
140;125;210
141;118;199
142;111;187
143;105;174
144;99;162
145;92;150
146;503;151
147;503;136
148;503;122
149;503;110
150;503;96
151;503;83
152;503;70
153;503;55
154;503;42
155;503;28
156;513;25
157;526;25
158;539;25
159;552;25
160;566;25
161;578;25
162;520;94
163;533;94
164;546;94
165;560;94
166;573;94
167;638;25
168;652;25
169;665;25
170;678;25
171;692;25
172;706;31
173;716;39
174;724;52
175;726;65
176;724;79
177;716;93
178;704;101
179;694;109
180;699;116
181;706;127
182;715;138
183;723;150
184;673;109
185;661;109
186;647;109
187;633;146
188;633;132
189;633;119
190;633;106
191;633;93
192;633;79
193;633;66
194;633;52
195;633;39
196;633;26
197;774;23
198;774;38
199;774;52
200;774;65
201;774;78
202;774;92
203;774;106
204;774;120
205;774;133
206;774;146
207;822;138
208;835;145
209;849;149
210;862;151
211;877;149
212;889;144
213;900;137
214;907;123
215;905;110
216;901;97
217;890;86
218;877;84
219;859;76
220;868;65
221;877;55
222;886;44
223;895;33
224;904;23
225;893;25
226;879;25
227;865;25
228;851;25
229;838;25
230;826;25
231;964;25
232;975;25
233;989;25
234;1002;25
235;1015;25
236;1030;25
237;1043;27
238;1053;36
239;1063;45
240;1073;55
241;1079;70
242;1080;83
243;1080;97
244;1075;111
245;1067;124
246;1057;131
247;1046;142
248;1032;148
249;1017;148
250;1006;148
251;991;148
252;977;148
253;967;148
254;958;138
255;958;125
256;958;111
257;958;98
258;958;85
259;958;70
260;958;57
261;958;44
262;958;29
263;589;206
264;576;202
265;564;198
266;551;194
267;536;197
268;524;203
269;513;211
270;501;217
271;492;230
272;490;245
273;487;257
274;485;271
275;489;285
276;497;296
277;504;306
278;513;317
279;526;325
280;539;327
281;553;331
282;567;328
283;581;322
284;592;316
285;642;324
286;648;311
287;653;298
288;658;286
289;664;274
290;670;261
291;675;249
292;680;238
293;687;225
294;691;213
295;697;201
296;708;205
297;712;217
298;717;228
299;722;241
300;727;253
301;734;265
302;739;278
303;744;290
304;751;303
305;756;316
306;762;327
307;734;291
308;720;291
309;708;291
310;695;291
311;680;291
312;667;291
313;803;323
314;803;308
315;803;294
316;803;281
317;803;268
318;803;255
319;803;241
320;803;228
321;803;215
322;803;201
323;807;201
324;813;213
325;820;224
326;827;236
327;833;248
328;841;260
329;847;271
330;854;284
331;860;295
332;869;306
333;874;298
334;882;286
335;889;274
336;895;263
337;902;250
338;909;239
339;915;227
340;921;216
341;929;204
342;938;204
343;938;217
344;938;231
345;938;244
346;938;259
347;938;272
348;938;286
349;938;299
350;938;312
351;938;325
352;990;323
353;990;310
354;990;298
355;990;283
356;990;270
357;990;257
358;990;242
359;990;229
360;990;216
361;990;201
362;1001;202
363;1014;202
364;1028;202
365;1042;202
366;1055;202
367;1068;206
368;1078;217
369;1086;227
370;1088;243
371;1085;257
372;1078;266
373;1063;277
374;1051;282
375;1038;282
376;1024;282
377;1009;282
378;998;282
